TX-MYTSKY,01 Apr 2021 10:00,Received,"Hi! Your Tatasky WO No# 1-2R2PZT5N has been registered. Your request will be attended to, however there could be a delay due to current COVID19 situation.Watch your favorite shows on Tata Sky Mobile App.Click bit.ly/TSMobDL to download."
59039140,01 Apr 2021 11:38,Received,"693298 is your One Time Password for online purchase on Amex card ending 41008. If not requested, please contact American Express. 01/Apr/2021, 11:38 IST."
VD-SODEXO,01 Apr 2021 12:52,Received,Rs.267.00 was spent from your Sodexo Meal Card A/c xx8152 at 1-04-2021 12:52:4 at ZOMATO . Avl Meal Card A/c bal is Rs.2504.74. Not you? Call 18002673030. Sodexo
VK-MYTSKY,01 Apr 2021 14:01,Received,Your OTP for MyTataSky is 003322. The OTP is valid for the next 3 minutes.
TX-MYTSKY,01 Apr 2021 14:06,Received,Use WhatsApp to track your Tata Sky WORK ORDER STATUS by clicking here https://bit.ly/TataSkyWOQCC
TX-MYTSKY,01 Apr 2021 14:49,Received,Use WhatsApp to track your Tata Sky WORK ORDER STATUS by clicking here https://bit.ly/TataSkyWOQCC
VK-DOMINO,01 Apr 2021 18:00,Received,"It's PIZZA-O-CLOCK!
Order some cheesy Domino's Pizzas and make your day more fun!
Get Rs.100 Off on your orders today!
Use code: GET100
https://bit.ly/3mbUb2o"
BP-HDFCBK,01 Apr 2021 19:21,Received,Rs 325.00 debited from a/c **9072 on 01-04-21 to VPA paytmqr281005050101zo6sw5dhkv7z@paytm(UPI Ref No 109119859751). Not you? Call on 18002586161 to report
BP-HDFCBK,02 Apr 2021 11:57,Received,Rs 30.00 debited from a/c **9072 on 02-04-21 to VPA 9423047313@okbizaxis(UPI Ref No 109211467689). Not you? Call on 18002586161 to report
VK-CITIBN,02 Apr 2021 12:03,Received,"Your Citi Rewards Card just got an extra-rewarding upgrade. You can now earn upto 14X reward points* on Amazon, Flipkart & Myntra during 15 Feb'21- 15 Aug'21. So sit back, shop away & watch your points go up and up. *T&Cs Apply www.citi.asia/MRS"
VM-HDFCBK,02 Apr 2021 13:14,Received,"HDFC Bank Cardmember, Payment of Rs 5828 was credited to your card ending 8699 on 01/APR/2021."
VM-DOMINO,02 Apr 2021 16:04,Received,"Prices SLASHED!
Your favorite Domino's Pizzas are at 40% Off!
Not for long!
Use code : DOM40 & order now!
*TNC Apply
https://bit.ly/3ujmM8r"
VK-CITIBA,02 Apr 2021 17:22,Received,"Rs. 645.10 spent on card 2331 on 02-APR-21 at MORE. Limit available=Rs. 208,354.04.If not done by you, click www.citi.asia/DIS?cn=2331"
BZ-BSNLIN,03 Apr 2021 00:51,Received,"Dear Customer, ur a/c bal is Rs.0.00 & valid until 21-04-2021. pl ignore,if you have valid bundles,else recharge immediately .Dial *123# for details.To Recharge D/L MY BSNL APP or go to portal2.bsnl.in/myportal/quickrecharge.do"
VK-URBCOM,03 Apr 2021 09:34,Received,"Hey Shreyas Khandalkar,
Please spare 2 mins to tell us about your Full Home Cleaning experience. Click here - http://n.ubcp.in/229Jn
- Urban Company"
VM-MYTSKY,03 Apr 2021 09:57,Received,Your OTP for MyTataSky is 825645. The OTP is valid for the next 3 minutes.
TX-MYTSKY,03 Apr 2021 10:02,Received,Additional No.9403191587 registered & enabled for SMS/Missed Call transactions on your TataSky a/c. To disallow SMS/Missed call usage sms DREG 9403191587 to 56633
TX-MYTSKY,03 Apr 2021 10:03,Received,Use WhatsApp to track your Tata Sky WORK ORDER STATUS by clicking here https://bit.ly/TataSkyWOQCC
TX-MYTSKY,03 Apr 2021 11:44,Received,Use WhatsApp to track your Tata Sky WORK ORDER STATUS by clicking here https://bit.ly/TataSkyWOQCC
JD-MYTSKY,03 Apr 2021 11:45,Received,Hi! You recently connected with us at Tata Sky. Please share your feedback. https://ltms.in/BylGG-tBru?n.
JD-MYTSKY,03 Apr 2021 12:22,Received,Hi! your Work Order was recently completed. Please share your feedback https://ltms.in/H14Lfy9SS-?n.
